A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
8.8037,1.6248,2.3772,5.9888,6.8569,FL
8.9927,1.5055,1.7143,5.8315,6.5077,FL
8.6063,1.5778,2.8595,6.0884,6.5789,FL
8.5581,2.0678,1.9892,6.3405,6.6196,FL
8.7339,1.4767,1.4731,5.8716,6.4472,FL
8.4503,1.8223,2.2234,5.7434,6.4456,FL
8.7355,1.5104,1.6819,5.9797,6.8184,FL
8.9026,1.5253,1.7685,6.2411,6.698,FL
8.7765,2.9994,1.7939,6.2621,6.8061,FL
8.9004,1.7628,1.7252,6.394,6.9415,FL
7.8161,1.6798,2.0226,5.7403,6.0213,FL
8.6898,1.641,1.6738,6.0848,6.8457,FL
9.1019,1.5221,1.5614,6.9767,7.2258,FL
8.9271,1.5221,1.5131,6.1723,6.6684,FL
8.6654,4.8638,2.0362,5.9855,6.2238,FL
7.9533,1.6398,1.7043,4.97,5.9348,FL
8.0521,1.5398,1.6997,5.0871,6.045,FL
9.0115,1.545,1.5499,6.1732,6.361,FL
9.1539,1.5141,1.5583,6.1875,6.6571,FL
8.7864,1.6621,2.0573,5.7879,6.3898,FL
9.3159,1.4927,1.495,7.0632,7.3238,FL
8.7264,1.4731,1.5252,5.7051,6.5237,FL
9.4383,1.6866,2.7778,6.4341,6.9702,FL
9.1569,1.507,1.8637,5.9862,6.7013,FL
9.1753,1.885,2.2625,6.1675,6.5825,FL
8.5136,1.5506,1.5864,6.3987,6.6517,FL
8.995,1.4942,2.1252,6.0198,6.6448,FL
9.0757,1.4767,2.4473,6.2113,6.7411,FL
9.0025,1.7594,2.4286,6.0651,6.7297,FL
8.3434,1.5226,1.5748,5.8195,6.3532,FL
9.1016,1.7013,1.8631,4.6671,6.7399,FL
8.6154,1.5141,1.6946,5.7746,6.6001,FL
9.0241,1.6015,1.5859,6.4084,7.0146,FL
9.4108,1.5572,1.8329,6.4119,7.0007,FL
9.1947,1.5226,2.6866,6.0343,7.0177,FL
9.1038,1.5951,1.6787,6.6902,7.2644,FL
8.9559,1.4767,1.5812,5.5865,6.4925,FL
8.6193,1.495,1.7478,6.1237,6.6554,FL
8.572,1.5163,1.6313,5.8442,6.5416,FL
8.877,1.845,2.1245,5.9272,6.4706,FL
8.1415,1.549,1.6787,5.1066,5.8994,FL
9.029,1.8286,2.5098,6.8785,7.39,FL
8.6492,1.4731,1.4767,5.7751,6.6137,FL
9.2968,1.4731,1.5111,6.6708,7.2139,FL
9.4797,1.5677,2.2961,6.3467,7.1362,FL
9.3424,1.5252,2.6176,6.3598,6.9764,FL
8.9036,1.7042,2.0599,5.9755,6.415,FL
9.1924,1.4731,2.4243,6.0105,6.6279,FL
9.1753,1.6245,1.529,6.313,6.42,FL
